Simbolo	Ocurrencias	Frecuencia
czm	7	1.55211e-08
czn	3	6.6519e-09
czo	36	7.98228e-08
czp	1	2.2173e-09
czs	1	2.2173e-09
czu	30	6.6519e-08
czv	1	2.2173e-09
czw	3	6.6519e-09
czy	211	4.6785e-07
czz	1	2.2173e-09
daa	216	4.78937e-07
dab	74583	0.000165373
dac	48606	0.000107774
dad	1500654	0.0033274
dae	1890	4.1907e-06
daf	2509	5.56321e-06
dag	8493	1.88315e-05
dah	1028	2.27938e-06
dai	3274	7.25944e-06
daj	6482	1.43725e-05
dak	1706	3.78271e-06
dal	66946	0.000148439
dam	134006	0.000297132
dan	192034	0.000425797
dañ	17616	3.906e-05
dao	529	1.17295e-06
dap	14961	3.3173e-05
daq	427	9.46787e-07
dar	267416	0.000592942
das	630138	0.00139721
dat	75530	0.000167473
dau	1405	3.11531e-06
dav	63329	0.000140419
daw	443	9.82264e-07
dax	208	4.61198e-07
day	3262	7.23283e-06
daz	8623	1.91198e-05
dba	412	9.13528e-07
dbb	3	6.6519e-09
dbc	16	3.54768e-08
dbd	6	1.33038e-08
dbe	715	1.58537e-06
dbf	3	6.6519e-09
dbg	1	2.2173e-09
dbi	53	1.17517e-07
dbk	7	1.55211e-08
dbl	52	1.153e-07
dbm	13	2.88249e-08
dbn	4	8.8692e-09
dbo	92	2.03992e-07
dbp	3	6.6519e-09
dbr	49	1.08648e-07
dbs	8	1.77384e-08
dbt	1	2.2173e-09
dbu	146	3.23726e-07
dbv	7	1.55211e-08
dbx	4	8.8692e-09
dby	68	1.50776e-07
dca	305	6.76277e-07
dcb	6	1.33038e-08
dcc	91	2.01774e-07
dcd	9	1.99557e-08
dce	14	3.10422e-08
dcf	1	2.2173e-09
dcg	12	2.66076e-08
dch	253	5.60977e-07
dci	34	7.53882e-08
dcl	164	3.63637e-07
dcm	6	1.33038e-08
dcn	16	3.54768e-08
dco	187	4.14635e-07
dcp	5	1.10865e-08
dcr	6	1.33038e-08
dcs	22	4.87806e-08
dct	29	6.43017e-08
dcu	16	3.54768e-08
dcv	1	2.2173e-09
dcw	6	1.33038e-08
dcx	2	4.4346e-09
dcz	33	7.31709e-08
dda	989	2.19291e-06
ddb	14	3.10422e-08
ddc	78	1.72949e-07
ddd	54	1.19734e-07
dde	620	1.37473e-06
ddf	209	4.63416e-07
ddg	9	1.99557e-08
ddh	181	4.01331e-07
ddi	1513	3.35477e-06
ddj	1	2.2173e-09
ddk	6	1.33038e-08
ddl	441	9.77829e-07
ddm	19	4.21287e-08
ddn	95	2.10644e-07
ddo	262	5.80933e-07
ddp	47	1.04213e-07
ddr	74	1.6408e-07
dds	43	9.53439e-08
ddt	171	3.79158e-07
ddu	235	5.21066e-07
ddv	3	6.6519e-09
ddw	2	4.4346e-09
ddy	1851	4.10422e-06
dea	94872	0.00021036
deb	272940	0.00060519
dec	395098	0.000876051
ded	79065	0.000175311
dee	1369	3.03548e-06
def	144272	0.000319894
deg	12422	2.75433e-05
deh	1369	3.03548e-06
dei	4592	1.01818e-05
dej	139487	0.000309285
dek	332	7.36144e-07
del	2039057	0.0045212
dem	319888	0.000709288
den	736722	0.00163353
deñ	3872	8.58539e-06
deo	38685	8.57763e-05
dep	142093	0.000315063
deq	401	8.89137e-07
der	671531	0.00148899
des	1548431	0.00343334
det	148119	0.000328424
deu	18013	3.99402e-05
dev	25888	5.74015e-05
dew	489	1.08426e-06
dex	1311	2.90688e-06
dey	413	9.15745e-07
dez	56364	0.000124976
dfa	41	9.09093e-08
dfb	12	2.66076e-08
dfc	4	8.8692e-09
dfd	4	8.8692e-09
dfe	35	7.76055e-08
dff	18	3.99114e-08
dfh	2	4.4346e-09
dfi	125	2.77163e-07
dfj	1	2.2173e-09
dfl	25	5.54325e-08
dfm	2	4.4346e-09
dfn	3	6.6519e-09
dfo	455	1.00887e-06
dfp	6	1.33038e-08
dfr	72	1.59646e-07
dfs	5	1.10865e-08
dft	6	1.33038e-08
dfu	37	8.20401e-08
dga	1970	4.36808e-06
dgb	81	1.79601e-07
dgc	36	7.98228e-08
dgd	8	1.77384e-08
dge	2728	6.04879e-06
dgf	11	2.43903e-08
dgg	2	4.4346e-09
dgh	2	4.4346e-09
dgi	376	8.33705e-07
dgk	118	2.61641e-07
dgl	19	4.21287e-08
dgm	24	5.32152e-08
dgn	1	2.2173e-09
dgo	72	1.59646e-07
dgp	31	6.87363e-08
dgr	121	2.68293e-07
dgs	119	2.63859e-07
dgt	149	3.30378e-07
dgu	16	3.54768e-08
dgv	5	1.10865e-08
dgw	41	9.09093e-08
dgx	2	4.4346e-09
dgy	9	1.99557e-08
dha	1209	2.68072e-06
dhb	15	3.32595e-08
dhc	9	1.99557e-08
dhd	25	5.54325e-08
dhe	5820	1.29047e-05
dhf	5	1.10865e-08
dhg	1	2.2173e-09
dhh	25	5.54325e-08
dhi	1609	3.56764e-06
dhj	1	2.2173e-09
dhk	3	6.6519e-09
dhl	79	1.75167e-07
dhm	2	4.4346e-09
dhn	1	2.2173e-09
dho	305	6.76277e-07
dhp	13	2.88249e-08
dhr	40	8.8692e-08
dhs	6	1.33038e-08
dht	14	3.10422e-08
dhu	255	5.65412e-07
dhv	7	1.55211e-08
dhy	67	1.48559e-07
dia	699702	0.00155145
dib	26621	5.90267e-05
dic	617282	0.0013687
did	267276	0.000592631
die	307617	0.000682079
dif	203374	0.000450941
dig	87039	0.000192992
dih	100	2.2173e-07
dii	177	3.92462e-07
dij	135911	0.000301355
dik	657	1.45677e-06
dil	52127	0.000115581
dim	68354	0.000151561
din	126815	0.000281187
diñ	280	6.20844e-07
dio	473657	0.00105024
dip	35719	7.91997e-05
diq	3172	7.03328e-06
dir	275859	0.000611662
dis	463543	0.00102781
dit	82149	0.000182149
diu	3225	7.15079e-06
div	130682	0.000289761
diw	128	2.83814e-07
dix	609	1.35034e-06
diy	96	2.12861e-07
diz	20666	4.58227e-05
dja	406	9.00224e-07
djb	2	4.4346e-09
djc	3	6.6519e-09
dje	1794	3.97784e-06
djh	2	4.4346e-09
dji	368	8.15966e-07
djj	2	4.4346e-09
djk	57	1.26386e-07
djl	1	2.2173e-09
djm	144	3.19291e-07
djn	1	2.2173e-09
djo	198	4.39025e-07
djp	3	6.6519e-09
djr	2	4.4346e-09
djs	11	2.43903e-08
djt	1	2.2173e-09
dju	7853	1.74125e-05
djz	2	4.4346e-09
dka	398	8.82485e-07
dkb	7	1.55211e-08
dkc	4	8.8692e-09
dkd	4	8.8692e-09
dke	83	1.84036e-07
dkf	1	2.2173e-09
dkh	1	2.2173e-09
dki	103	2.28382e-07
dkl	2	4.4346e-09
dkn	3	6.6519e-09
dko	34	7.53882e-08
dkp	3	6.6519e-09
dkr	6	1.33038e-08
dks	2	4.4346e-09
dku	5	1.10865e-08
dkv	19	4.21287e-08
dkw	18	3.99114e-08
dky	4	8.8692e-09
dla	503	1.1153e-06
dlc	120	2.66076e-07
dld	1	2.2173e-09
dle	2435	5.39913e-06
dlf	3	6.6519e-09
dlg	4	8.8692e-09
dli	363	8.0488e-07
dlj	11	2.43903e-08
dll	36	7.98228e-08
dln	28	6.20844e-08
dlo	414	9.17962e-07
dlp	115	2.5499e-07
dlr	9	1.99557e-08
dls	39	8.64747e-08
dlt	4	8.8692e-09
dlu	33	7.31709e-08
dlv	5	1.10865e-08
dly	67	1.48559e-07
dlz	1	2.2173e-09
dma	2228	4.94014e-06
dmb	9	1.99557e-08
dmc	25	5.54325e-08
dmd	13	2.88249e-08
dme	1192	2.64302e-06
dmf	4	8.8692e-09
dmg	4	8.8692e-09
dmi	73692	0.000163397
dmk	1	2.2173e-09
dmm	5	1.10865e-08
dmn	11	2.43903e-08
dmo	548	1.21508e-06
dmp	2	4.4346e-09
dmq	21	4.65633e-08
dmr	10	2.2173e-08
dms	18	3.99114e-08
dmt	11	2.43903e-08
dmu	2034	4.50999e-06
dmv	11	2.43903e-08
dmx	2	4.4346e-09
dmy	14	3.10422e-08
dmz	1	2.2173e-09
dna	1450	3.21509e-06
dnb	28	6.20844e-08
dnc	119	2.63859e-07
dnd	9	1.99557e-08
dne	2095	4.64524e-06
dnf	12	2.66076e-08
dng	95	2.10644e-07
dnh	2	4.4346e-09
dni	648	1.43681e-06
dnj	1	2.2173e-09
dnk	1	2.2173e-09
dnl	7	1.55211e-08
dnm	6	1.33038e-08
dnn	2	4.4346e-09
dno	206	4.56764e-07
dnp	27	5.98671e-08
dnr	3	6.6519e-09
dns	74	1.6408e-07
dnt	6	1.33038e-08
dnu	20	4.4346e-08
dnv	7	1.55211e-08
dnx	2	4.4346e-09
dny	86	1.90688e-07
dña	47	1.04213e-07
doa	431	9.55656e-07
dob	32497	7.20556e-05
doc	86333	0.000191426
dod	1414	3.13526e-06
doe	1506	3.33925e-06
dof	570	1.26386e-06
dog	4553	1.00954e-05
doh	193	4.27939e-07
doi	726	1.60976e-06
doj	4878	1.0816e-05
dok	212	4.70068e-07
dol	151647	0.000336247
dom	102716	0.000227752
don	297113	0.000658789
doñ	14764	3.27362e-05
doo	642	1.42351e-06
dop	21426	4.75079e-05
doq	1252	2.77606e-06
dor	533677	0.00118332
dos	1460785	0.003239
dot	26098	5.78671e-05
dou	13102	2.90511e-05
dov	3962	8.78494e-06
dow	4506	9.99115e-06
dox	3260	7.2284e-06
doy	5126	1.13659e-05
doz	4942	1.09579e-05
dpa	606	1.34368e-06
dpc	27	5.98671e-08
dpd	11	2.43903e-08
dpe	80	1.77384e-07
dpf	7	1.55211e-08
dpg	3	6.6519e-09
dph	20	4.4346e-08
dpi	81	1.79601e-07
dpk	1	2.2173e-09
dpl	7	1.55211e-08
dpm	3	6.6519e-09
dpn	7	1.55211e-08
dpo	27	5.98671e-08
dpp	16	3.54768e-08
dpr	44	9.75612e-08
dps	17	3.76941e-08
dpt	499	1.10643e-06
dpu	7	1.55211e-08
dpv	14	3.10422e-08
dpy	2	4.4346e-09
dpz	1	2.2173e-09
dqa	1	2.2173e-09
dqi	1	2.2173e-09
dqo	9	1.99557e-08
dqt	7	1.55211e-08
dqu	25251	5.5989e-05
dqv	6	1.33038e-08
dra	152512	0.000338165
drb	3	6.6519e-09
drc	14	3.10422e-08
drd	29	6.43017e-08
dre	162969	0.000361351
drf	3	6.6519e-09
drg	3	6.6519e-09
drh	25	5.54325e-08
dri	220964	0.000489943
drj	1	2.2173e-09
drk	3	6.6519e-09
drl	20	4.4346e-08
drm	7	1.55211e-08
drn	30	6.6519e-08
dro	102121	0.000226433
drp	6	1.33038e-08
drr	12	2.66076e-08
drs	50	1.10865e-07
drt	1	2.2173e-09
dru	11395	2.52661e-05
drv	21	4.65633e-08
drw	9	1.99557e-08
dry	393	8.71399e-07
drz	42	9.31266e-08
dsa	262	5.80933e-07
dsb	39	8.64747e-08
dsc	2067	4.58316e-06
dsd	20	4.4346e-08
dse	274	6.0754e-07
dsf	8	1.77384e-08
dsg	19	4.21287e-08
dsh	92	2.03992e-07
dsi	142	3.14857e-07
dsj	6	1.33038e-08
dsk	179	3.96897e-07
dsl	223	4.94458e-07
dsm	617	1.36807e-06
dsn	13	2.88249e-08
dso	1230	2.72728e-06
dsp	60	1.33038e-07
dsq	4	8.8692e-09
dsr	7	1.55211e-08
dss	79	1.75167e-07
dst	427	9.46787e-07
dsu	80	1.77384e-07
dsv	4	8.8692e-09
dsw	83	1.84036e-07
dsx	1	2.2173e-09
dsy	5	1.10865e-08
dsz	24	5.32152e-08
dta	56	1.24169e-07
dtb	5	1.10865e-08
dtc	17	3.76941e-08
dtd	3	6.6519e-09
dte	156	3.45899e-07
dtf	18	3.99114e-08
dth	68	1.50776e-07
dti	204	4.52329e-07
dtj	2	4.4346e-09
dtk	7	1.55211e-08
dtl	70	1.55211e-07
dtm	8	1.77384e-08
dtn	65	1.44125e-07
dto	80	1.77384e-07
dtp	39	8.64747e-08
dtr	47	1.04213e-07
dts	32	7.09536e-08
dtt	2	4.4346e-09
dtu	1	2.2173e-09
dtv	28	6.20844e-08
dtw	1	2.2173e-09
dtx	2	4.4346e-09
dtz	6	1.33038e-08
dua	41379	9.17497e-05
dub	1861	4.1264e-06
duc	339901	0.000753662
dud	46137	0.0001023
due	23738	5.26343e-05
duf	399	8.84703e-07
dug	1923	4.26387e-06
duh	1610	3.56985e-06
dui	1591	3.52772e-06
duj	23115	5.12529e-05
duk	389	8.6253e-07
dul	41557	9.21443e-05
dum	13723	3.0428e-05
dun	5550	1.2306e-05
duñ	208	4.61198e-07
duo	22023	4.88316e-05
dup	4246	9.41466e-06
duq	5623	1.24679e-05
dur	218287	0.000484008
dus	45282	0.000100404
dut	521	1.15521e-06
duu	11	2.43903e-08
duv	2916	6.46565e-06
duw	11	2.43903e-08
dux	137	3.0377e-07
duy	273	6.05323e-07
duz	6464	1.43326e-05
dva	250	5.54325e-07
dvb	15	3.32595e-08
dvd	498	1.10422e-06
dve	19467	4.31642e-05
dvi	12798	2.8377e-05
dvm	2	4.4346e-09
dvn	3	6.6519e-09
dvo	373	8.27053e-07
dvp	35	7.76055e-08
dvr	5	1.10865e-08
dvs	339	7.51665e-07
dvu	3	6.6519e-09
dvx	1	2.2173e-09
dvy	1	2.2173e-09
dwa	2622	5.81376e-06
dwb	1	2.2173e-09
dwd	6	1.33038e-08
dwe	137	3.0377e-07
dwg	2	4.4346e-09
dwh	6	1.33038e-08
dwi	1860	4.12418e-06
dwj	1	2.2173e-09
dwn	3	6.6519e-09
dwo	109	2.41686e-07
dwr	5	1.10865e-08
dws	1	2.2173e-09
dwu	2	4.4346e-09
dwy	172	3.81376e-07
dxa	2	4.4346e-09
dxc	2	4.4346e-09
dxd	1	2.2173e-09
dxe	1	2.2173e-09
dxf	5	1.10865e-08
dxi	3	6.6519e-09
dxl	1	2.2173e-09
dxp	1	2.2173e-09
dxv	1	2.2173e-09
dxx	2	4.4346e-09
dya	867	1.9224e-06
dyb	24	5.32152e-08
dyc	119	2.63859e-07
dyd	18	3.99114e-08
dye	113	2.50555e-07
dyf	2	4.4346e-09
dyg	15	3.32595e-08
dyh	2	4.4346e-09
dyi	31	6.87363e-08
dyj	2	4.4346e-09
dyk	68	1.50776e-07
dyl	339	7.51665e-07
dym	52	1.153e-07
dyn	482	1.06874e-06
dyo	158	3.50333e-07
dyp	28	6.20844e-08
dyr	17	3.76941e-08
dys	737	1.63415e-06
dyt	49	1.08648e-07
dyu	793	1.75832e-06
dyv	2	4.4346e-09
dyw	3	6.6519e-09
dyy	9	1.99557e-08
dyz	2	4.4346e-09
dza	90	1.99557e-07
dzb	1	2.2173e-09
dzc	2	4.4346e-09
dzd	23	5.09979e-08
dze	303	6.71842e-07
dzh	33	7.31709e-08
dzi	726	1.60976e-06
dzk	3	6.6519e-09
dzl	1	2.2173e-09
dzm	3	6.6519e-09
dzn	5	1.10865e-08
dzo	81	1.79601e-07
dzr	3	6.6519e-09
dzs	1	2.2173e-09
dzu	44	9.75612e-08
dzw	1	2.2173e-09
dzx	1	2.2173e-09
dzy	4	8.8692e-09
eaa	72	1.59646e-07
eab	27200	6.03106e-05
eac	51239	0.000113612
ead	86573	0.000191958
eae	346	7.67186e-07
eaf	2830	6.27496e-06
eag	5354	1.18714e-05
eah	392	8.69182e-07
eai	389	8.6253e-07
eaj	2810	6.23061e-06
eak	1052	2.3326e-06
eal	245319	0.000543946
eam	51178	0.000113477
ean	85465	0.000189502
eañ	2624	5.8182e-06
eao	159	3.52551e-07
eap	3465	7.68294e-06
eaq	34	7.53882e-08
ear	84199	0.000186694
eas	87781	0.000194637
eat	51203	0.000113532
eau	5942	1.31752e-05
eav	1433	3.17739e-06
eaw	29	6.43017e-08
eax	28	6.20844e-08
eay	1102	2.44346e-06
eaz	317	7.02884e-07
eba	89602	0.000198675
ebb	822	1.82262e-06
ebc	217	4.81154e-07
ebd	56	1.24169e-07
ebe	189935	0.000421143
ebf	6	1.33038e-08
ebg	10	2.2173e-08
ebh	33	7.31709e-08
ebi	96199	0.000213302
ebj	86	1.90688e-07
ebk	52	1.153e-07
ebl	69621	0.000154371
ebm	98	2.17295e-07
ebn	73	1.61863e-07
ebo	22117	4.904e-05
ebp	36	7.98228e-08
ebr	97422	0.000216014
ebs	476	1.05543e-06
ebt	53	1.17517e-07
ebu	8261	1.83171e-05
ebv	156	3.45899e-07
ebw	4	8.8692e-09
ebx	1	2.2173e-09
eby	314	6.96232e-07
ebz	2	4.4346e-09
eca	134177	0.000297511
ecb	16	3.54768e-08
ecc	173422	0.000384529
ecd	4320	9.57874e-06
ece	551432	0.00122269
ecf	11	2.43903e-08
ecg	198	4.39025e-07
ech	394378	0.000874454
eci	918656	0.00203694
ecj	41	9.09093e-08
eck	4428	9.8182e-06
ecl	80165	0.00017775
ecm	233	5.16631e-07
ecn	80086	0.000177575
eco	351286	0.000778906
ecp	105	2.32817e-07
ecq	761	1.68737e-06
ecr	79758	0.000176847
ecs	446	9.88916e-07
ect	712599	0.00158005
ecu	307905	0.000682718
ecv	34	7.53882e-08
ecy	105	2.32817e-07
ecz	221	4.90023e-07
eda	409280	0.000907497
edb	354	7.84924e-07
edc	84	1.86253e-07
edd	2664	5.90689e-06
ede	434843	0.000964177
edf	385	8.53661e-07
edg	2156	4.7805e-06
edh	397	8.80268e-07
edi	647796	0.00143636
edj	97	2.15078e-07
edk	43	9.53439e-08
edl	521	1.15521e-06
edm	3211	7.11975e-06
edn	286	6.34148e-07
edo	184570	0.000409247
edp	51	1.13082e-07
edq	2	4.4346e-09
edr	64317	0.00014261
eds	467	1.03548e-06
edt	124	2.74945e-07
edu	116619	0.000258579
edv	259	5.74281e-07
edw	1939	4.29934e-06
edy	1849	4.09979e-06
edz	54	1.19734e-07
eea	125	2.77163e-07
eeb	281	6.23061e-07
eec	303	6.71842e-07
eed	8239	1.82683e-05
eee	1033	2.29047e-06
eef	227	5.03327e-07
eeg	293	6.49669e-07
eeh	125	2.77163e-07
eei	318	7.05101e-07
eej	19	4.21287e-08
eek	835	1.85145e-06
eel	4340	9.62308e-06
eem	11638	2.58049e-05
een	24818	5.5029e-05
eeñ	2	4.4346e-09
eeo	9	1.99557e-08
eep	1402	3.10865e-06
eeq	212	4.70068e-07
eer	27440	6.08427e-05
ees	10714	2.37562e-05
eet	3537	7.84259e-06
eeu	3696	8.19514e-06
eev	484	1.07317e-06
eew	86	1.90688e-07
eex	1025	2.27273e-06
eey	11	2.43903e-08
eez	186	4.12418e-07
efa	22659	5.02418e-05
efb	3	6.6519e-09
efc	21	4.65633e-08
efd	4	8.8692e-09
efe	242293	0.000537236
eff	2684	5.95123e-06
efg	18	3.99114e-08
efh	16	3.54768e-08
efi	167907	0.0003723
efj	12	2.66076e-08
efk	22	4.87806e-08
efl	34572	7.66565e-05
efm	9	1.99557e-08
efn	26	5.76498e-08
efo	64310	0.000142595
efp	26	5.76498e-08
efq	6	1.33038e-08
efr	11944	2.64834e-05
efs	145	3.21509e-07
eft	551	1.22173e-06
efu	17894	3.96764e-05
efv	2	4.4346e-09
efw	1	2.2173e-09
efx	2	4.4346e-09
efy	10	2.2173e-08
efz	2	4.4346e-09
ega	360226	0.000798729
egb	617	1.36807e-06
egc	38	8.42574e-08
egd	13	2.88249e-08
ege	33347	7.39403e-05
egf	83	1.84036e-07
egg	2108	4.67407e-06
egh	604	1.33925e-06
egi	211752	0.000469518
egk	9	1.99557e-08
egl	32707	7.25212e-05
egm	3676	8.15079e-06
egn	2670	5.92019e-06
ego	290191	0.000643441
egp	38	8.42574e-08
egr	151163	0.000335174
egs	93	2.06209e-07
egt	27	5.98671e-08
egu	551408	0.00122264
egv	3	6.6519e-09
egw	26	5.76498e-08
egy	122	2.70511e-07
egz	1	2.2173e-09
eha	7373	1.63482e-05
ehb	17	3.76941e-08
ehc	10	2.2173e-08
ehd	62	1.37473e-07
ehe	7919	1.75588e-05
ehf	15	3.32595e-08
ehg	8	1.77384e-08
ehh	71	1.57428e-07
ehi	18166	4.02795e-05
ehj	4	8.8692e-09
ehk	2	4.4346e-09
ehl	529	1.17295e-06
ehm	297	6.58538e-07
ehn	218	4.83371e-07
eho	1923	4.26387e-06
ehp	31	6.87363e-08
ehq	2	4.4346e-09
ehr	677	1.50111e-06
ehs	22	4.87806e-08
eht	237	5.255e-07
ehu	3378	7.49004e-06
ehv	5	1.10865e-08
ehw	6	1.33038e-08
ehy	40	8.8692e-08
ehz	5	1.10865e-08
eia	30433	6.74791e-05
eib	7251	1.60776e-05
eic	4449	9.86477e-06
eid	19541	4.33283e-05
eie	506	1.12195e-06
eif	955	2.11752e-06
eig	2425	5.37695e-06
eih	74	1.6408e-07
eii	44	9.75612e-08
eij	1288	2.85588e-06
eik	459	1.01774e-06
eil	3298	7.31266e-06
eim	4740	1.051e-05
ein	93883	0.000208167
eiñ	2	4.4346e-09
eio	440	9.75612e-07
eip	434	9.62308e-07
eiq	35	7.76055e-08
eir	22022	4.88294e-05
eis	53870	0.000119446
eit	31584	7.00312e-05
eiu	58	1.28603e-07
eiv	6710	1.48781e-05
eiw	21	4.65633e-08
eix	1689	3.74502e-06
eiy	20	4.4346e-08
eiz	2203	4.88471e-06
eja	258687	0.000573587
ejb	51	1.13082e-07
ejc	18	3.99114e-08
ejd	47	1.04213e-07
eje	195836	0.000434227
ejg	1	2.2173e-09
ejh	3	6.6519e-09
eji	29006	6.4315e-05
ejj	10	2.2173e-08
ejk	26	5.76498e-08
ejl	31	6.87363e-08
ejm	58	1.28603e-07
ejn	134	2.97118e-07
ejo	277944	0.000616285
ejr	4	8.8692e-09
ejs	10	2.2173e-08
ejt	22	4.87806e-08
eju	5987	1.3275e-05
ejv	2	4.4346e-09
ejw	1	2.2173e-09
ejz	1	2.2173e-09
eka	1006	2.2306e-06
ekb	28	6.20844e-08
ekc	54	1.19734e-07
ekd	28	6.20844e-08
eke	902	2e-06
ekg	8	1.77384e-08
ekh	91	2.01774e-07
eki	2027	4.49447e-06
ekj	2	4.4346e-09
ekk	131	2.90466e-07
ekl	101	2.23947e-07
ekm	69	1.52994e-07
ekn	139	3.08205e-07
eko	753	1.66963e-06
ekp	9	1.99557e-08
ekr	54	1.19734e-07
eks	284	6.29713e-07
ekt	273	6.05323e-07
eku	176	3.90245e-07
ekv	8	1.77384e-08
ekw	71	1.57428e-07
ekx	2	4.4346e-09
eky	90	1.99557e-07
ekz	3	6.6519e-09
ela	452314	0.00100292
elb	2218	4.91797e-06
elc	3939	8.73394e-06
eld	23546	5.22085e-05
ele	522802	0.00115921
elf	4772	1.0581e-05
elg	29208	6.47629e-05
elh	1198	2.65633e-06
eli	305053	0.000676394
elj	332	7.36144e-07
elk	847	1.87805e-06
ell	560385	0.00124254
elm	10284	2.28027e-05
eln	1128	2.50111e-06
elñ	1	2.2173e-09
elo	245246	0.000543784
elp	1220	2.70511e-06
elq	309	6.85146e-07
elr	192	4.25722e-07
els	10916	2.4204e-05
elt	59749	0.000132481
elu	30059	6.66498e-05
elv	43614	9.67053e-05
elw	128	2.83814e-07
elx	23	5.09979e-08
ely	1266	2.8071e-06
elz	223	4.94458e-07
ema	583152	0.00129302
emb	231610	0.000513549
emc	438	9.71177e-07
emd	41	9.09093e-08
eme	287947	0.000638465
emf	162	3.59203e-07
emg	73	1.61863e-07
emh	108	2.39468e-07
emi	177941	0.000394549
emj	39	8.64747e-08
emk	140	3.10422e-07
eml	933	2.06874e-06
emm	2306	5.11309e-06
emn	6837	1.51597e-05
emo	410186	0.000909505
emp	675223	0.00149717
emq	9	1.99557e-08
emr	35	7.76055e-08
ems	1308	2.90023e-06
emt	350	7.76055e-07
emu	15201	3.37052e-05
emv	99	2.19513e-07
emw	4	8.8692e-09
emx	2	4.4346e-09
emy	704	1.56098e-06
emz	5	1.10865e-08
ena	467518	0.00103663
enb	3947	8.75168e-06
enc	1217146	0.00269878
end	934542	0.00207216
ene	996782	0.00221016
enf	106564	0.000236284
eng	145291	0.000322154
enh	3968	8.79825e-06
eni	418970	0.000928982
enj	7609	1.68714e-05
enk	1859	4.12196e-06
enl	11805	2.61752e-05
enm	10320	2.28825e-05
enn	10756	2.38493e-05
eno	410263	0.000909676
enp	927	2.05544e-06
enq	2026	4.49225e-06
enr	31961	7.08671e-05
ens	509110	0.00112885
ent	5031936	0.0111573
enu	71919	0.000159466
env	56453	0.000125173
enw	481	1.06652e-06
enx	102	2.26165e-07
eny	1424	3.15744e-06
enz	90449	0.000200553
eña	165199	0.000366296
eñe	2657	5.89137e-06
eñi	6641	1.47251e-05
eñl	1	2.2173e-09
eñm	1	2.2173e-09
eño	181617	0.000402699
eñr	1	2.2173e-09
eñs	1	2.2173e-09
eñu	606	1.34368e-06
eñy	4	8.8692e-09
eoa	703	1.55876e-06
eob	836	1.85366e-06
eoc	33767	7.48716e-05
eod	2837	6.29048e-06
eoe	1366	3.02883e-06
eof	2261	5.01332e-06
eog	17810	3.94901e-05
eoh	65	1.44125e-07
eoi	277	6.14192e-07
eoj	2151	4.76941e-06
eok	120	2.66076e-07
eol	30549	6.77363e-05
eom	4674	1.03637e-05
eon	48381	0.000107275
eoñ	12	2.66076e-08
eoo	17	3.76941e-08
eop	7909	1.75366e-05
eoq	127	2.81597e-07
eor	59116	0.000131078
eos	56044	0.000124266
eot	4484	9.94237e-06
eou	94	2.08426e-07
eov	386	8.55878e-07
eow	52	1.153e-07
eox	69	1.52994e-07
eoy	1027	2.27717e-06
eoz	350	7.76055e-07
epa	134238	0.000297646
epb	200	4.4346e-07
epc	39835	8.83261e-05
epd	25	5.54325e-08
epe	103947	0.000230482
epf	30	6.6519e-08
epg	18	3.99114e-08
eph	3310	7.33926e-06
epi	45941	0.000101865
epj	6	1.33038e-08
epk	56	1.24169e-07
epl	12829	2.84457e-05
epm	113	2.50555e-07
epn	113	2.50555e-07
epo	97677	0.000216579
epp	2048	4.54103e-06
epq	1	2.2173e-09
epr	130438	0.00028922
eps	4220	9.35701e-06
ept	115008	0.000255007
epu	46839	0.000103856
epv	10	2.2173e-08
epw	16	3.54768e-08
epx	1	2.2173e-09
epy	133	2.94901e-07
epz	11	2.43903e-08
eqa	4	8.8692e-09
eqc	15	3.32595e-08
eqd	4	8.8692e-09
eqe	4	8.8692e-09
eqh	1	2.2173e-09
eqi	8	1.77384e-08
eqk	1	2.2173e-09
eql	1	2.2173e-09
eqn	1	2.2173e-09
eqo	1	2.2173e-09
eqq	2	4.4346e-09
eqr	3	6.6519e-09
eqs	3	6.6519e-09
eqt	4	8.8692e-09
equ	203364	0.000450919
eqz	1	2.2173e-09
era	1934574	0.00428953
erb	27858	6.17695e-05
erc	368939	0.000818048
erd	355972	0.000789297
ere	713279	0.00158155
erf	66099	0.000146561
erg	96129	0.000213147
erh	1677	3.71841e-06
eri	1035089	0.0022951
erj	11054	2.451e-05
erk	2141	4.74724e-06
erl	106427	0.000235981
erm	424500	0.000941244
ern	468032	0.00103777
erñ	2	4.4346e-09
ero	1426577	0.00316315
erp	109265	0.000242273
erq	2637	5.84702e-06
err	470942	0.00104422
ers	526946	0.0011684
ert	687492	0.00152438
eru	30045	6.66188e-05
erv	270847	0.000600549
erw	811	1.79823e-06
erx	40	8.8692e-08
ery	2850	6.31931e-06
erz	91239	0.000202304
esa	769729	0.00170672
esb	15156	3.36054e-05
esc	589045	0.00130609
esd	205375	0.000455378
ese	717071	0.00158996
esf	44287	9.81976e-05
esg	49482	0.000109716
esh	10089	2.23703e-05
esi	650651	0.00144269
esj	85	1.88471e-07
esk	853	1.89136e-06
esl	15261	3.38382e-05
esm	24546	5.44258e-05
esn	15443	3.42418e-05
esñ	1	2.2173e-09
eso	494296	0.001096
esp	1105802	0.00245189
esq	34456	7.63993e-05
esr	710	1.57428e-06
ess	15527	3.4428e-05
est	3270039	0.00725066
esu	183912	0.000407788
esv	19365	4.2938e-05
esw	79	1.75167e-07
